system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,334.8470588235294,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,5568.525490196079,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,1488.3294117647058,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,119470.59215686274,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,60975.074509803926,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,53279.25490196078,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,279243.5686274509,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,80645.45882352939,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,441656.24705882336,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,8406.454901960784,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,2050861.7921568616,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,2745539.321568629,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,1960127.3215686283,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,114923.3960784314,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,2179422.0549019594,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,1065968.1176470595,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,414985.45490196085,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,843349.9803921576,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,880768.3764705876,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,1616954.3098039213,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,679635.1803921561,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,369852.4078431372,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,258816.39607843128,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,220025.6862745098,
