system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
00006ba1e01395c37849,GMB,GMB.5_1,Gambia,Upper River,,213911.16078431375,
0000907166da06af5667,SEN,SEN.6_1,Senegal,KÃ©dougou,SÃ©nÃ©gal Oriental,102050.86274509801,
0000b2f76e1579347564,MRT,MRT.6_1,Mauritania,Guidimaka,Guidimagha|Guidimakha,256111.70588235292,
0000ab37cc2d64c1717f,GIN,GIN.6_1,Guinea,LabÃ©,,980407.0431372548,
0000772822dfacd7dde6,GIN,GIN.7_1,Guinea,Mamou,,678280.7137254905,
000006909bc1d595410e,SLE,SLE.2_1,Sierra Leone,Northern,,1741265.8980392178,
000013d321e7152cce44,SLE,SLE.1_1,Sierra Leone,Eastern,,1007058.7098039204,
00003a75c5ae36e696e5,GIN,GIN.2_1,Guinea,Conakry,,872.0078431372549,
0000c91c3d31d65c6762,SLE,SLE.3_1,Sierra Leone,Southern,,1010394.2392156872,
0000386c909e82a8650c,SLE,SLE.4_1,Sierra Leone,Western,,39575.00784313724,
00001e9742320052d8b8,GIN,GIN.8_1,Guinea,NzÃ©rÃ©korÃ©,,1337405.8470588224,
00006549045a637e2fb7,LBR,LBR.3_1,Liberia,Gbapolu,Gbarpolu,93680.23529411764,
00003ae2d4bf0b55f62e,LBR,LBR.4_1,Liberia,Grand Cape Mount,,146789.25490196075,
0000a557ff1c1c7c3b20,LBR,LBR.1_1,Liberia,Bomi,,93202.47450980394,
00009f930a0069bec042,LBR,LBR.11_1,Liberia,Montserrado,,77920.3960784314,
00002071b993cf1abaa5,LBR,LBR.9_1,Liberia,Margibi,,106115.15294117645,
0000efc0e6b1324328e1,CIV,CIV.2_1,CÃ´te d'Ivoire,Bas-Sassandra,,1230083.4745098038,
0000aa958ecd3715c755,LBR,LBR.10_1,Liberia,Maryland,,122947.68235294112,
0000cd72e9ef91220391,LBR,LBR.7_1,Liberia,GrandKru,Grand Kru,69988.09803921566,
00007d6ec3b1bbe8f4d4,LBR,LBR.14_1,Liberia,River Gee,,98070.96862745096,
0000f40ba36f9387ba73,LBR,LBR.15_1,Liberia,Sinoe,,110376.74901960783,
00008b191d54f6a664e1,LBR,LBR.5_1,Liberia,GrandBassa,Grand Bassa,184608.72156862746,
0000defcf5b9a720b1a9,LBR,LBR.13_1,Liberia,River Cess,Rivercess,85101.87058823531,
00006c59a95551c057d6,LBR,LBR.6_1,Liberia,GrandGedeh,Grand Gedeh,113959.9843137255,
000063949a259c126e3a,CIV,CIV.8_1,CÃ´te d'Ivoire,Montagnes,,1222173.8627450978,
0000f7ee77724941fe4b,LBR,LBR.12_1,Liberia,Nimba,,479631.89803921577,
0000c27beff12c9248fa,LBR,LBR.2_1,Liberia,Bong,,286728.89411764697,
000054bf1264cdd7cbb3,LBR,LBR.8_1,Liberia,Lofa,,318100.86666666646,
0000b8870bad030fd0ba,CIV,CIV.4_1,CÃ´te d'Ivoire,DenguÃ©lÃ©,,78210.98039215678,
0000a50fa2869366876b,CIV,CIV.12_1,CÃ´te d'Ivoire,Woroba,,379712.0509803914,
0000b9090754a59a1575,CIV,CIV.9_1,CÃ´te d'Ivoire,Sassandra-MarahouÃ©,,823363.741176469,
0000b2e1df0c1568c2c8,CIV,CIV.11_1,CÃ´te d'Ivoire,VallÃ©e du Bandama,,268876.5215686273,
0000656b0e363a060add,CIV,CIV.6_1,CÃ´te d'Ivoire,Lacs,,303182.19607843115,
0000701e3d5d38823afb,CIV,CIV.13_1,CÃ´te d'Ivoire,Yamoussoukro,,3782.9999999999995,
000092c509a76a18ea90,CIV,CIV.7_1,CÃ´te d'Ivoire,Lagunes,,365952.396078431,
00006963ce9fa7537179,CIV,CIV.5_1,CÃ´te d'Ivoire,GÃ´h-Djiboua,,355597.52156862733,
00001d89e5cdde269603,CIV,CIV.1_1,CÃ´te d'Ivoire,Abidjan,,2447.8666666666672,
0000a66c4948401503de,CIV,CIV.3_1,CÃ´te d'Ivoire,ComoÃ©,,324927.77254901937,
000026df4ecb8fbc35c3,GHA,GHA.10_1,Ghana,Western,,504181.63921568624,
0000c35f47912db7c5b6,GHA,GHA.2_1,Ghana,Brong Ahafo,,555374.1137254903,
0000950f91de922668c8,CIV,CIV.14_1,CÃ´te d'Ivoire,Zanzan,,385957.08627450926,
00008053294388014a85,GHA,GHA.9_1,Ghana,Volta,,358159.36862745095,
00007dd09fb93783d97c,GHA,GHA.1_1,Ghana,Ashanti,,395641.38431372563,
0000cc7e8b9a4f17a1d4,GHA,GHA.4_1,Ghana,Eastern,,327534.2901960786,
0000f7f5c50752361d6c,GHA,GHA.3_1,Ghana,Central,,118262.79215686275,
00009a7340ea9f9a76f8,GHA,GHA.5_1,Ghana,Greater Accra,,6112.02745098039,
00000c7405ce08e51702,TGO,TGO.3_1,Togo,Maritime,RÃ©gion Maritime,358400.3450980393,
0000e3df791696cbba8c,BEN,BEN.8_1,Benin,Littoral,,0.0,
0000a8eddbe2b4857417,BEN,BEN.3_1,Benin,Atlantique,,228276.00784313734,
0000888616bbacfa4bbc,BEN,BEN.9_1,Benin,Mono,,153133.90588235282,
0000bf8d2448e9ed0d55,TGO,TGO.4_1,Togo,Plateaux,RÃ©gion des Plateaux,1031461.5254901962,
0000ef6418c19db6364a,BEN,BEN.7_1,Benin,Kouffo,Couffo,428391.7019607842,
00004d0b034b83cbcc40,BEN,BEN.10_1,Benin,OuÃ©mÃ©,,79612.86274509804,
00007a53e783ca808e01,BEN,BEN.12_1,Benin,Zou,,382447.60392156866,
00009106634d70aaeb2d,BEN,BEN.11_1,Benin,Plateau,,299608.66666666686,
0000464eb5e9b0693a2f,BEN,BEN.5_1,Benin,Collines,,380310.6588235292,
0000f75b01818ef10c75,TGO,TGO.1_1,Togo,Centre,"RÃ©gion Centrale, RÃ©gion du Centre",315037.3529411765,
0000ea598ff996305f7c,TGO,TGO.2_1,Togo,Kara,RÃ©gion de la Kara,448949.0941176471,
00005adaeb3c2d863410,BEN,BEN.2_1,Benin,Atakora,,591253.4196078429,
000026bb99e27bcda8e6,BEN,BEN.6_1,Benin,Donga,,286506.5803921567,
0000dfdfda48763359e2,BEN,BEN.4_1,Benin,Borgou,,731187.6980392148,
0000faffcfa259c87575,BEN,BEN.1_1,Benin,Alibori,,572168.3686274509,
0000b6540229192ca1b6,NGA,NGA.28_1,Nigeria,Ogun,,509556.8705882353,
0000712fa9c4693c1e70,NGA,NGA.31_1,Nigeria,Oyo,,1769110.7568627452,
00008754aea269f091a6,NGA,NGA.24_1,Nigeria,Kwara,,1198331.0352941176,
0000cff2cf340fc25c68,NGA,NGA.27_1,Nigeria,Niger,,3065265.752941181,
000086db067f7e7fba7a,NGA,NGA.22_1,Nigeria,Kebbi,,2730574.5725490213,
0000ade5866d5f103b3e,NGA,NGA.30_1,Nigeria,Osun,,689229.1882352943,
00009ee63f56e1377cab,NGA,NGA.13_1,Nigeria,Ekiti,,646611.2156862742,
0000e5b6f385e54dee20,NGA,NGA.29_1,Nigeria,Ondo,,1593129.8470588233,
000078a6d5139a28657b,NGA,NGA.25_1,Nigeria,Lagos,,12333.254901960783,
0000f25430d07d644919,NGA,NGA.12_1,Nigeria,Edo,,846147.8941176474,
000015f1463bd1f68b4a,NGA,NGA.10_1,Nigeria,Delta,,312461.4941176471,
00009115dd65a31ef699,NGA,NGA.6_1,Nigeria,Bayelsa,,36718.31764705883,
00009184c4657478a4b9,NGA,NGA.33_1,Nigeria,Rivers,,138725.17254901963,
0000e770a4f2ecd14d9b,NGA,NGA.17_1,Nigeria,Imo,,1972214.1137254906,
00004dacbba479e051a8,NGA,NGA.1_1,Nigeria,Abia,,1131006.7725490204,
00008ee1c94c90c48916,NGA,NGA.3_1,Nigeria,Akwa Ibom,,2129824.098039216,
000025950f8a4f09b20e,NGA,NGA.4_1,Nigeria,Anambra,,607974.8627450982,
0000e4ad2f108d44f954,NGA,NGA.14_1,Nigeria,Enugu,,1921453.5019607842,
000021ade234a37404fd,NGA,NGA.11_1,Nigeria,Ebonyi,,2100867.062745098,
00000edfd9a2dec946f5,NGA,NGA.23_1,Nigeria,Kogi,,2103881.9333333327,
0000b99916543198cba5,NGA,NGA.7_1,Nigeria,Benue,,3842551.3647058816,
0000d615e344d505bdad,NGA,NGA.19_1,Nigeria,Kaduna,,3519809.3098039264,
000068e36c33a400b1bc,NGA,NGA.15_1,Nigeria,Federal Capital Territory,Abuja,293598.97647058824,
000079725cdea9eed340,NGA,NGA.26_1,Nigeria,Nassarawa,,1478433.623529411,
000041ceb852bfc04df8,NGA,NGA.35_1,Nigeria,Taraba,,2527654.8117647013,
0000526b9b71ecf80b29,NGA,NGA.32_1,Nigeria,Plateau,,2744767.7254901985,
000063fe1d1a23b39d35,NGA,NGA.5_1,Nigeria,Bauchi,,5300979.000000011,
00002e1b6109afe4e5a6,CMR,CMR.6_1,Cameroon,Nord-Ouest,North-West,1760034.3843137256,
0000270f8a94f0b1bede,CMR,CMR.9_1,Cameroon,Sud-Ouest,South-West,994681.7058823535,
0000b8d8b4dafdd5cb20,NGA,NGA.9_1,Nigeria,Cross River,,2826787.7803921606,
000098adef4a4a4b4374,CMR,CMR.5_1,Cameroon,Littoral,Litoral,348960.9254901957,
00001a9f7acc9d636a36,CMR,CMR.8_1,Cameroon,Ouest,West,1239277.360784314,
000025e4597069f682cb,CMR,CMR.2_1,Cameroon,Centre,Central,1164859.7333333353,
00001f45d6db090bbc04,CMR,CMR.10_1,Cameroon,Sud,South,546213.776470588,
00006e537bac334198a5,GNQ,GNQ.3_1,Equatorial Guinea,Bioko Sur,,6530.258823529412,
0000b7fdc0aaa2e865d2,GNQ,GNQ.2_1,Equatorial Guinea,Bioko Norte,,92.90196078431374,
00002773999585dc88f9,STP,STP.1_1,SÃ£o TomÃ© and PrÃ­ncipe,PrÃ­ncipe,,1349.0117647058823,
00003df978464a208432,STP,STP.2_1,SÃ£o TomÃ© and PrÃ­ncipe,SÃ£o TomÃ©,,15562.356862745097,
00008a0fa9a54731760c,GNQ,GNQ.6_1,Equatorial Guinea,Litoral,,39216.6980392157,
00007786a6b8d88b1157,GNQ,GNQ.4_1,Equatorial Guinea,Centro Sur,,63902.411764705874,
0000ae383ea50e31a5ea,GNQ,GNQ.5_1,Equatorial Guinea,KiÃ©-Ntem,,63350.83921568636,
00001be814d4348d6623,GNQ,GNQ.7_1,Equatorial Guinea,Wele-Nzas,,61154.77254901967,
0000eecc58c60e2bfd69,GAB,GAB.1_1,Gabon,Estuaire,,22864.49411764709,
00007604878cfa58acee,GAB,GAB.9_1,Gabon,Wouleu-Ntem,Woleu-Ntem,47649.01568627457,
0000f2b17ebd3fdc302b,GAB,GAB.3_1,Gabon,Moyen-OgoouÃ©,,34563.49803921571,
00007134e2b791339504,GAB,GAB.6_1,Gabon,OgoouÃ©-Ivindo,,34922.01568627454,
000013a1583ca0b59341,GAB,GAB.7_1,Gabon,OgoouÃ©-Lolo,,30809.61960784314,
000041c448437b95f5ec,GAB,GAB.2_1,Gabon,Haut-OgoouÃ©,,50597.40784313727,
0000063786ee96409859,COG,COG.12_1,Republic of Congo,Sangha,,45355.17647058826,
00006b5c161efe44295d,CMR,CMR.3_1,Cameroon,Est,East,685286.2000000002,
000000ac1361b5268e55,CAF,CAF.8_1,Central African Republic,MambÃ©rÃ©-KadÃ©Ã¯,Haute-Sangha|MambÃ©rÃ© KadÃ©i,420886.08235294133,
00000ee5809a36127e9b,CAF,CAF.16_1,Central African Republic,Sangha-MbaÃ©rÃ©,Sangha|Sangha-Ã‰conomique|Sangha M'baÃ©rÃ©,157687.2470588235,
000029a251a27e50f87f,COG,COG.7_1,Republic of Congo,Likouala,,188119.12941176468,
